mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	1	1	2/4	1/2	0	firstMeasure					2
2	2	1	2/4	1/2	0						3
3	3	1	2/4	1/2	0						4
4	4	1	2/4	1/2	0						5
5	5	1	2/4	1/2	0						6
6	6	1	2/4	1/2	0						7
7	7	1	2/4	1/2	0						8
8	8	1	2/4	1/2	0	endRepeat					1, 9
9	9	1	2/4	1/2	0	startRepeat		start-repeat			10
10	10	1	2/4	1/2	0						11
11	11	1	2/4	1/2	0						12
12	12	1	2/4	1/2	0	endRepeat					9, 13
13	13	1	2/4	1/2	0						14
14	14	1	2/4	1/2	0						15
15	15	1	2/4	1/2	0						16
16	16	1	2/4	1/2	0						17
17	17	1	2/4	1/2	0						18
18	18	1	2/4	1/2	0						19
19	19	1	2/4	1/2	0						20
20	20	1	2/4	1/2	0						21
21	21	1	2/4	1/2	0	startRepeat					22
22	22	1	2/4	1/2	0						23
23	23	1	2/4	1/2	0						24
24	24	1	2/4	1/2	0	endRepeat					21, 25
25	25	1	2/4	1/2	0						26
26	26	1	2/4	1/2	0						27
27	27	1	2/4	1/2	0						28
28	28	1	2/4	1/2	0						29
29	29	1	2/4	1/2	0						30
30	30	1	2/4	1/2	0						31
31	31	1	2/4	1/2	0						32
32	32	1	2/4	1/2	0						33
33	33	1	2/4	1/2	0						34
34	34	1	2/4	1/2	0						35
35	35	1	2/4	1/2	0						36
36	36	1	2/4	1/2	0						37
37	37	1	2/4	1/2	0	startRepeat		start-repeat			38
38	38	1	2/4	1/2	0						39
39	39	1	2/4	1/2	0						40
40	40	1	2/4	1/2	0	endRepeat					37, 41
41	41	1	2/4	1/2	0						42
42	42	1	2/4	1/2	0						43
43	43	1	2/4	1/2	0						44
44	44	1	2/4	1/2	0						45
45	45	1	2/4	1/2	0						46
46	46	1	2/4	1/2	0						47
47	47	1	2/4	1/2	0						48
48	48	1	2/4	1/2	0	lastMeasure		end			-1
