mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	4/4	1	1	0					p										
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=112	112.0	𝅘𝅥	112.0	0.0			
1	1	0	0	0.0	0	0	Spanner	4/4	1	1	0														0	
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	0									0	0	
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	1									0	0	
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	2									1		
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	3									1		
2	2	4	4	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	4									0	0	
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	5									0	0	
2	2	4	4	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	6									1		
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	7									1		
3	3	8	8	0.0	0	0	Spanner	4/4	1	1	0													0		
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	8									0		
3	3	10	10	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	9									0		
3	3	10	10	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	10									0		
3	3	10	10	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	11									0		
3	3	10	10	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	12									0		
3	3	10	10	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	13									0		
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	14									0		
3	3	8	8	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	15											
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	16											
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	17									1		
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	18									1		
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	19									0		
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	20											
4	4	12	12	4.0	0	0	Chord	4/4	1	2	1		1	1	21											
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	22									1		
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	23											
4	4	12	12	4.0	0	0	Chord	4/4	2	2	1		1	1	24											
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	25									2		
5	5	18	18	0.0	1/2	1/2	Spanner	4/4	1	1	0													2	1	
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	26									2	1	
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	27											
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	28											
5	5	16	16	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	29									3		
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	30									3		
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	31									2	1	
6	6	22	22	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	32										1	
6	6	22	22	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	33										1	
