mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	staff_text	slur	crescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0				p			
1	1	0	0	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	0			0	
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	1			0	
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	2			0	
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	3			0	
1	1	0	0	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	4				
1	1	1/4	1/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	5				
1	1	1	1	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	6				
1	1	5/4	5/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	7				
1	1	0	0	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	8				
1	1	1/2	1/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	9				
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	10				
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	11				
1	1	3/2	3/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	12				
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	13				
1	1	0	0	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	14				
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	15				
2	2	2	2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	16			0	
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	17			0	
2	2	3	3	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	18			0	
2	2	2	2	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	19				
2	2	9/4	9/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	20				
2	2	3	3	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	21				
2	2	13/4	13/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	22				
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	23				
2	2	5/2	5/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	24				
2	2	11/4	11/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	25				
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	26				
2	2	7/2	7/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	27				
2	2	15/4	15/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	28				
2	2	2	2	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	29				
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	30				
3	3	4	4	0.0	0	0	Dynamic	2/4	1	1	0				pp			
3	3	4	4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	31			1	
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	32			1	
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	33			1	
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	34			1	
3	3	4	4	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	35				
3	3	17/4	17/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	36				
3	3	5	5	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	37				
3	3	21/4	21/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	38				
3	3	4	4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	39				
3	3	9/2	9/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	40				
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	41				
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	42				
3	3	11/2	11/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	43				
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	44				
3	3	4	4	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	45				
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	46				
4	4	6	6	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	47			1	
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	48			1	
4	4	7	7	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	49			1	
4	4	6	6	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	50				
4	4	25/4	25/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	51				
4	4	7	7	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	52				
4	4	29/4	29/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	53				
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	54				
4	4	13/2	13/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	55				
4	4	27/4	27/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	56				
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	57				
4	4	15/2	15/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	58				
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	59				
4	4	6	6	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	60				
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	61				
5	5	8	8	0.0	0	0	Dynamic	2/4	1	1	0				p			
5	5	8	8	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	62			2	
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	63			2	
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	64			2	
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	65			2	
5	5	8	8	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	66				
5	5	33/4	33/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	67				
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	68				
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	69				
5	5	9	9	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	70				
5	5	37/4	37/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	71				
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16	1/16	1	72				
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16	1/16	1	73				
5	5	8	8	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	74				
5	5	9	9	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	75				
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	76			2	
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	77			2	
6	6	11	11	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	78			2	
6	6	10	10	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	79				
6	6	41/4	41/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	80				
6	6	21/2	21/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	81				
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	82				
6	6	11	11	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	83				
6	6	45/4	45/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	84				
6	6	23/2	23/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16	1/16	1	85				
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16	1/16	1	86				
6	6	10	10	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	87				
